đầu tư trực tiếp nước ngoài theo ngành 1988-2005					
(tính tới ngày 22/8/2005 - chỉ tính các dự án còn hiệu lực)					
					
STT	Chuyên ngành	Số dự án	TVĐT	Vốn pháp định	Đầu tư thực hiện
59	Hà Nam 	3	6200000	2590000	3807156
60	Hà Giang 	2	5925000	2633000	0
61	Sóc Trăng 	3	5286000	2706000	2055617
62	Cà Mau 	3	5175000	3175000	5130355
63	Lai Châu 	2	3000000	2000000	180898
64	Hậu Giang 	1	804000	804000	804000
65	Điện Biên 	1	129000	129000	0
Tổng số		5617	48154971106	21555956808	25769527089
Nguồn: Cục Đầu tư nước ngoài - Bộ Kế hoạch và Đầu tư					
Cấp mới 8 tháng - 2005 phân theo ngành				
(tính tới ngày 22/8/2005)				
				
STT	Chuyên ngành	Số dự án	TVĐT	Vốn pháp định
I	Công nghiệp	344	1119839329	516659330
	CN dầu khí 	1	20000000	20000000
	CN nhẹ 	153	465737666	205554772
	CN nặng 	154	575530615	265991510
	CN thực phẩm 	21	38471048	13983048
	Xây dựng 	15	20100000	11130000
II	Nông-Lâm-Ngư nghiệp	48	85788190	41652821
	Nông-Lâm nghiệp 	43	73838190	37072821
	Thủy sản 	5	11950000	4580000
III	Dịch vụ 	98	1031808650	815148339
	GTVT-Bưu điện 	14	675270000	664950000
	Khách sạn-Du lịch 	6	10300000	4055306
	Văn hóa-Ytế-Giáo dục 	17	29742387	18187706
	XD Khu đô thị mới 	1	85000000	25500000
	XD Văn phòng-Căn hộ 	5	193881000	77071248
	Dịch vụ 	55	37615263	25384079
Tổng số		490	2237436169	1373460490
Nguồn: Cục Đầu tư nước ngoài - Bộ Kế hoạch và Đầu tư				
				
Cấp mới 8 tháng - 2005 phân theo nước				
(tính tới ngày 22/8/2005)				
				
STT	Nước, vùng lãnh thổ	Số dự án	TVĐT	Vốn pháp định
1	Luxembourg 	2	770481000	708900000
2	Hồng Kông 	22	370300000	112993248
3	Đài Loan 	95	230970415	122233854
4	Nhật Bản 	51	184955263	77940500
5	Hàn Quốc 	118	163797103	76092203
6	Hoa Kỳ 	31	89864625	35731744
7	Malaysia 	8	81990000	54060000
8	Singapore 	30	69713596	27732079
9	Trung Quốc 	29	59762948	28467658
10	BritishVirginIslands 	20	47894000	16940000
11	Hà Lan 	5	31472000	24106000
12	Canada 	4	26100000	22030000
13	Thái Lan 	7	17150000	12425000
14	Brunei 	5	13800000	5310000
15	Mauritius 	2	12800000	7850000
16	CHLB Đức 	8	12650152	11703152
17	Italia 	4	10050000	4994746
18	Pháp 	12	6903400	2667000
19	Samoa 	2	6500000	5470000
20	Thụy Sỹ 	3	5025000	2825000
21	Cook Islands 	1	5000000	2000000
22	Philippines 	2	4075000	1530000
23	Australia 	10	3540000	1779500
24	Đan Mạch 	5	2041667	1648500
25	Liên bang Nga 	1	2000000	2000000
26	Vương quốc Anh 	4	1700000	1190000
27	Panama 	1	1150000	800000
28	Israel 	1	1000000	300000
29	St Vincent & The Grenadines 	1	1000000	400000
30	Thổ Nhĩ Kỳ 	1	950000	285000
31	Dominica 	1	900000	300000
32	Ma Cao 	1	900000	300000
33	Na Uy 	1	500000	265306
34	Cayman Islands 	1	400000	150000
35	Saint Kitts & Nevis 	1	100000	40000
